日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA30,MA60
2021-01-04,221.05,232.58,236.6,219.8,64527,1579205104.0,7.58,4.96,10.99,0.52,,,,
2021-01-05,230.6,249.3,252.18,229.71,82435,2129948768.0,9.66,7.19,16.72,0.66,,,,
2021-01-06,246.6,242.2,254.2,235.1,151182,3892730000.0,7.66,-2.85,-7.1,1.21,,,,
2021-01-07,238.4,241.6,241.72,228.04,125281,3138000464.0,5.65,-0.25,-0.6,1.0,,,,
2021-01-08,242.04,228.07,247.14,226.6,141554,3500782944.0,8.5,-5.6,-13.53,1.13,238.75,,,
2021-01-11,221.9,213.84,222.6,207.6,189549,4369475584.0,6.58,-6.24,-14.23,1.52,235.002,,,
2021-01-12,207.6,215.02,218.0,207.6,162523,3705890384.0,4.86,0.55,1.18,1.3,228.14600000000002,,,
2021-01-13,212.71,201.3,218.02,198.1,202779,4460393984.0,9.26,-6.38,-13.72,1.63,219.96599999999998,,,
2021-01-14,201.3,196.6,201.95,189.61,148974,3115412896.0,6.13,-2.33,-4.7,1.19,210.96600000000004,,,
2021-01-15,194.82,193.1,198.15,188.18,140945,2918405248.0,5.07,-1.78,-3.5,1.13,203.972,221.36100000000002,,
2021-01-18,193.0,185.78,193.7,183.6,180300,3619290960.0,5.23,-3.79,-7.32,1.45,198.35999999999999,216.68099999999998,,
2021-01-19,190.6,176.21,190.6,175.12,176493,3455434480.0,8.33,-5.15,-9.57,1.41,190.598,209.37199999999999,,
2021-01-20,176.4,176.4,180.09,170.95,170100,3235704032.0,5.19,0.11,0.19,1.36,185.618,202.792,,
2021-01-21,177.6,179.74,182.44,174.48,161580,3121685184.0,4.51,1.89,3.34,1.3,182.246,196.606,,
2021-01-22,179.8,178.43,181.57,172.6,122923,2353081440.0,4.99,-0.73,-1.31,0.99,179.312,191.642,,
2021-01-25,180.6,197.71,197.71,180.6,105390,2169917104.0,9.59,10.81,19.28,0.84,181.698,190.02900000000002,,
2021-01-26,208.9,204.6,208.9,197.8,262489,5711972608.0,5.61,3.48,6.89,2.1,187.376,188.987,,
2021-01-27,201.1,191.47,201.2,187.6,173263,3587476368.0,6.65,-6.42,-13.13,1.39,190.39000000000001,188.004,,
2021-01-28,187.6,188.06,195.7,186.6,97628,1996035952.0,4.75,-1.78,-3.41,0.78,192.054,187.15,,
2021-01-29,191.12,189.61,196.6,188.3,123929,2556632608.0,4.41,0.82,1.55,0.99,194.29000000000002,186.80100000000002,,
