日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,3.64,3.68,3.69,3.59,254338,95271040.0,2.73,0.55,0.02,2.41
2021-01-05,3.65,3.73,3.84,3.64,364465,139755424.0,5.43,1.36,0.05,3.45
2021-01-06,3.71,3.67,3.73,3.63,249360,93889865.0,2.68,-1.61,-0.06,2.36
2021-01-07,3.67,3.65,3.8,3.58,327334,124173963.0,5.99,-0.54,-0.02,3.1
2021-01-08,3.6,3.45,3.6,3.42,316932,113604333.0,4.93,-5.48,-0.2,3.0
2021-01-11,3.45,3.39,3.55,3.36,227401,80611142.0,5.51,-1.74,-0.06,2.15
2021-01-12,3.41,3.51,3.54,3.37,269493,96432138.0,5.01,3.54,0.12,2.55
2021-01-13,3.47,3.87,3.87,3.42,1049666,409876256.0,12.82,10.26,0.36,9.93
2021-01-14,4.01,3.75,4.14,3.71,1326201,531066160.0,11.11,-3.1,-0.12,12.55
2021-01-15,3.72,3.87,4.14,3.69,1023297,409092240.0,12.0,3.2,0.12,9.68
2021-01-18,3.91,3.91,4.02,3.82,750409,300911728.0,5.17,1.03,0.04,7.1
2021-01-19,3.9,3.79,3.95,3.77,557600,219805487.0,4.6,-3.07,-0.12,5.28
2021-01-20,3.79,3.93,3.99,3.76,606098,241924087.0,6.07,3.69,0.14,5.73
2021-01-21,3.9,3.87,3.99,3.85,531767,213243981.0,3.56,-1.53,-0.06,5.03
2021-01-22,3.85,3.98,4.08,3.77,803404,324572112.0,8.01,2.84,0.11,7.6
2021-01-25,3.96,4.1,4.24,3.92,920437,386922128.0,8.04,3.02,0.12,8.71
2021-01-26,4.05,3.93,4.1,3.89,599347,243770143.0,5.12,-4.15,-0.17,5.67
2021-01-27,3.93,4.14,4.18,3.8,804327,329243856.0,9.67,5.34,0.21,7.61
2021-01-28,4.05,3.94,4.1,3.91,558576,229155541.0,4.59,-4.83,-0.2,5.28
2021-01-29,3.95,4.08,4.08,3.84,648725,264245134.0,6.09,3.55,0.14,6.14
2021-02-01,4.03,4.28,4.34,4.01,978430,420720128.0,8.09,4.9,0.2,9.26
2021-02-02,4.2,4.26,4.29,4.14,613372,264490038.0,3.5,-0.47,-0.02,5.8
2021-02-03,4.25,4.0,4.4,3.99,856963,368472048.0,9.62,-6.1,-0.26,8.11
2021-02-04,3.92,3.75,3.98,3.68,721938,281577216.0,7.5,-6.25,-0.25,6.83
2021-02-05,3.72,3.5,3.77,3.47,557840,206567493.0,8.0,-6.67,-0.25,5.28
2021-02-08,3.48,3.8,3.86,3.48,740588,283064208.0,10.86,8.57,0.3,7.01
2021-02-09,3.75,3.85,3.92,3.69,658106,257383969.0,6.05,1.32,0.05,6.23
2021-02-10,3.84,3.76,3.86,3.74,336939,130539057.0,3.12,-2.34,-0.09,3.19
2021-02-18,3.84,3.83,3.87,3.77,398088,156020190.0,2.66,1.86,0.07,3.77
2021-02-19,3.82,4.02,4.03,3.79,619873,249857120.0,6.27,4.96,0.19,5.86
2021-02-22,4.0,4.04,4.2,3.97,729767,304434640.0,5.72,0.5,0.02,6.9
2021-02-23,4.01,4.08,4.14,3.99,521597,218084226.0,3.71,0.99,0.04,4.93
2021-02-24,4.06,4.08,4.13,3.99,442452,183627414.0,3.43,0.0,0.0,4.19
2021-02-25,4.07,4.04,4.16,3.96,495717,205752931.0,4.9,-0.98,-0.04,4.69
2021-02-26,3.96,4.17,4.24,3.92,709064,299264224.0,7.92,3.22,0.13,6.71
2021-03-01,4.15,4.28,4.3,4.11,711650,306557904.0,4.56,2.64,0.11,6.73
2021-03-02,4.22,4.15,4.23,4.07,522622,221588581.0,3.74,-3.04,-0.13,4.94
2021-03-03,4.13,4.31,4.32,4.1,627947,273031344.0,5.3,3.86,0.16,5.94
2021-03-04,4.29,4.12,4.31,4.11,545576,234345939.0,4.64,-4.41,-0.19,5.16
2021-03-05,4.08,4.29,4.54,4.05,915140,406275600.0,11.89,4.13,0.17,8.66
2021-03-08,4.27,4.14,4.45,4.13,776573,341033552.0,7.46,-3.5,-0.15,7.35
2021-03-09,4.15,4.5,4.56,4.15,1255318,567459472.0,9.9,8.7,0.36,11.88
2021-03-10,4.33,4.15,4.35,4.04,1112232,479125760.0,6.89,-7.78,-0.35,10.52
2021-03-11,4.07,4.21,4.24,3.9,639262,268667168.0,8.19,1.45,0.06,6.05
2021-03-12,4.18,4.12,4.23,4.05,434504,183722430.0,4.28,-2.14,-0.09,4.11
2021-03-15,4.11,4.17,4.18,4.05,351951,148624250.0,3.16,1.21,0.05,3.33
2021-03-16,4.21,4.03,4.22,3.99,478810,199578218.0,5.52,-3.36,-0.14,4.53
2021-03-17,4.01,4.03,4.04,3.96,237549,97533347.0,1.99,0.0,0.0,2.25
2021-03-18,4.0,3.99,4.03,3.93,275363,112368414.0,2.48,-0.99,-0.04,2.61
2021-03-19,3.97,4.0,4.06,3.94,256615,105185114.0,3.01,0.25,0.01,2.43
2021-03-22,3.97,4.12,4.17,3.96,404550,170016082.0,5.25,3.0,0.12,3.83
2021-03-23,4.09,4.02,4.11,3.96,285271,117730445.0,3.64,-2.43,-0.1,2.7
2021-03-24,3.98,3.98,4.07,3.96,181576,74461061.0,2.74,-1.0,-0.04,1.72
2021-03-25,3.96,3.83,4.01,3.82,278627,111893393.0,4.77,-3.77,-0.15,2.64
2021-03-26,3.89,3.96,4.01,3.84,262228,106024416.0,4.44,3.39,0.13,2.48
2021-03-29,3.95,3.98,4.0,3.92,180474,73148598.0,2.02,0.51,0.02,1.71
2021-03-30,3.96,4.18,4.39,3.95,877891,381210160.0,11.06,5.03,0.2,8.31
2021-03-31,4.13,4.23,4.29,4.1,670134,287982480.0,4.55,1.2,0.05,6.34
2021-04-01,4.23,4.19,4.24,4.16,404235,173813142.0,1.89,-0.95,-0.04,3.82
2021-04-02,4.18,4.18,4.29,4.15,356217,153081921.0,3.34,-0.24,-0.01,3.37
2021-04-06,4.2,4.18,4.27,4.15,294087,126261995.0,2.87,0.0,0.0,2.78
2021-04-07,4.18,4.25,4.33,4.14,426608,185514141.0,4.55,1.67,0.07,4.04
2021-04-08,4.24,4.29,4.55,4.22,567050,252444357.0,7.76,0.94,0.04,5.36
2021-04-09,4.29,4.3,4.42,4.26,413155,183228212.0,3.73,0.23,0.01,3.91
2021-04-12,4.28,4.24,4.36,4.21,352807,154150261.0,3.49,-1.4,-0.06,3.34
2021-04-13,4.3,4.33,4.44,4.27,476383,211037912.0,4.01,2.12,0.09,4.51
2021-04-14,4.28,4.32,4.32,4.17,348513,151071896.0,3.46,-0.23,-0.01,3.3
2021-04-15,4.25,4.23,4.29,4.18,236287,102317115.0,2.55,-2.08,-0.09,2.24
2021-04-16,4.23,4.39,4.43,4.21,568447,252940069.0,5.2,3.78,0.16,5.38
2021-04-19,4.36,4.44,4.51,4.35,503917,228877682.0,3.64,1.14,0.05,4.77
2021-04-20,4.43,4.43,4.46,4.37,400006,180654055.0,2.03,-0.23,-0.01,3.78
2021-04-21,4.41,4.34,4.43,4.26,381486,169892993.0,3.84,-2.03,-0.09,3.61
2021-04-22,4.35,4.23,4.38,4.2,413751,180892123.0,4.15,-2.53,-0.11,3.91
2021-04-23,4.23,4.15,4.24,4.12,313831,133952259.0,2.84,-1.89,-0.08,2.97
2021-04-26,4.15,4.1,4.28,4.09,328335,140151555.0,4.58,-1.2,-0.05,3.11
2021-04-27,4.07,4.03,4.11,3.96,234759,96584625.0,3.66,-1.71,-0.07,2.22
2021-04-28,4.02,4.05,4.12,4.0,175264,72983143.0,2.98,0.5,0.02,1.66
2021-04-29,4.04,4.07,4.09,4.01,164579,68472517.0,1.98,0.49,0.02,1.56
2021-04-30,4.08,4.0,4.12,3.98,162569,67151689.0,3.44,-1.72,-0.07,1.54
2021-05-06,4.03,4.07,4.12,3.95,199245,82992324.0,4.25,1.75,0.07,1.89
2021-05-07,4.07,4.08,4.14,4.05,202759,85135916.0,2.21,0.25,0.01,1.92
2021-05-10,4.07,4.1,4.11,4.02,222953,92969574.0,2.21,0.49,0.02,2.11
2021-05-11,4.07,4.04,4.09,3.98,199611,82456350.0,2.68,-1.46,-0.06,1.89
2021-05-12,4.0,4.05,4.06,3.99,142984,59027193.0,1.73,0.25,0.01,1.35
2021-05-13,4.02,4.04,4.09,4.01,173682,72202162.0,1.98,-0.25,-0.01,1.64
2021-05-14,4.04,4.08,4.12,4.03,208580,87061089.0,2.23,0.99,0.04,1.97
2021-05-17,4.08,4.0,4.09,3.96,226961,93655959.0,3.19,-1.96,-0.08,2.15
2021-05-18,3.99,3.99,4.03,3.96,135995,55675932.0,1.75,-0.25,-0.01,1.29
2021-05-19,3.98,3.92,3.99,3.91,201139,81424322.0,2.01,-1.75,-0.07,1.9
2021-05-20,3.92,3.88,3.96,3.87,160114,64232719.0,2.3,-1.02,-0.04,1.51
2021-05-21,3.89,3.9,3.91,3.85,141526,56390453.0,1.55,0.52,0.02,1.34
2021-05-24,3.9,3.91,3.95,3.88,124767,49990133.0,1.79,0.26,0.01,1.18
2021-05-25,3.91,3.94,3.98,3.87,173561,69857767.0,2.81,0.77,0.03,1.64
2021-05-26,3.94,3.96,4.0,3.92,156252,63569555.0,2.03,0.51,0.02,1.48
2021-05-27,3.95,3.97,4.01,3.94,163450,66623824.0,1.77,0.25,0.01,1.55
2021-05-28,4.06,3.98,4.08,3.95,220621,90625025.0,3.27,0.25,0.01,2.09
2021-05-31,3.97,3.91,3.98,3.88,175988,70635000.0,2.51,-1.76,-0.07,1.67
2021-06-01,3.92,3.96,3.96,3.9,126247,50844240.0,1.53,1.28,0.05,1.19
2021-06-02,3.96,3.9,3.97,3.89,122143,49049643.0,2.02,-1.52,-0.06,1.16
2021-06-03,3.89,3.9,3.93,3.89,109325,43787428.0,1.03,0.0,0.0,1.03
2021-06-04,3.9,3.82,3.9,3.81,200352,79078387.0,2.31,-2.05,-0.08,1.9
2021-06-07,3.81,3.8,3.83,3.78,147128,57413395.0,1.31,-0.52,-0.02,1.39
2021-06-08,3.8,3.82,3.83,3.77,107560,42019436.0,1.58,0.53,0.02,1.02
2021-06-09,3.81,3.88,3.88,3.8,108510,42752685.0,2.09,1.57,0.06,1.03
2021-06-10,3.88,3.84,3.88,3.82,122826,48502377.0,1.55,-1.03,-0.04,1.16
2021-06-11,3.83,3.78,3.84,3.76,158265,61657502.0,2.08,-1.56,-0.06,1.5
2021-06-15,3.78,3.73,3.79,3.72,103232,39726438.0,1.85,-1.32,-0.05,0.98
2021-06-16,3.73,3.71,3.75,3.7,89585,34179518.0,1.34,-0.54,-0.02,0.85
2021-06-17,3.71,3.68,3.74,3.66,88725,33712448.0,2.16,-0.81,-0.03,0.84
2021-06-18,3.67,3.7,3.71,3.66,82834,31365716.0,1.36,0.54,0.02,0.78
2021-06-21,3.7,3.72,3.72,3.69,75028,28575084.0,0.81,0.54,0.02,0.71
2021-06-22,3.7,3.78,3.83,3.7,167498,65071828.0,3.49,1.61,0.06,1.58
2021-06-23,3.77,3.76,3.77,3.73,87485,33673508.0,1.06,-0.53,-0.02,0.83
2021-06-24,3.76,3.77,3.78,3.73,68046,26267724.0,1.33,0.27,0.01,0.64
