日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA30,MA60
2021-01-04,35.22,35.67,35.74,35.0,3810,19011571.0,2.1,1.28,0.45,2.15,,,,
2021-01-05,35.69,35.45,35.81,35.24,2813,14010667.0,1.6,-0.62,-0.22,1.59,,,,
2021-01-06,35.43,34.78,35.58,34.74,3105,15289501.0,2.37,-1.89,-0.67,1.75,,,,
2021-01-07,34.78,33.27,34.8,32.1,6035,28642866.0,7.76,-4.34,-1.51,3.4,,,,
2021-01-08,33.28,33.32,33.74,32.01,3822,17692654.0,5.2,0.15,0.05,2.16,34.498000000000005,,,
2021-01-11,33.11,32.29,33.29,32.21,4055,18573372.0,3.24,-3.09,-1.03,2.29,33.821999999999996,,,
2021-01-12,32.22,32.43,32.96,32.07,2702,12378313.0,2.76,0.43,0.14,1.52,33.218,,,
2021-01-13,32.43,31.71,32.57,31.56,4557,20380131.0,3.11,-2.22,-0.72,2.57,32.604,,,
2021-01-14,31.69,32.22,32.78,31.61,4527,20509743.0,3.69,1.61,0.51,2.55,32.394,,,
2021-01-15,32.19,33.89,34.29,32.11,7382,34708526.0,6.77,5.18,1.67,4.16,32.507999999999996,33.503,,
2021-01-18,33.89,33.71,34.46,33.51,4231,20167866.0,2.8,-0.53,-0.18,2.39,32.792,33.307,,
2021-01-19,33.59,34.69,35.01,33.59,5970,28879415.0,4.21,2.91,0.98,3.37,33.244,33.231,,
2021-01-20,34.57,34.28,34.58,34.01,3158,15191560.0,1.64,-1.18,-0.41,1.78,33.757999999999996,33.181,,
2021-01-21,34.28,34.19,34.54,34.01,3268,15725776.0,1.55,-0.26,-0.09,1.84,34.152,33.273,,
2021-01-22,34.15,33.72,34.15,33.46,2816,13338306.0,2.02,-1.37,-0.47,1.59,34.118,33.313,,
2021-01-25,33.47,33.92,33.92,32.74,3977,18601248.0,3.5,0.59,0.2,2.24,34.160000000000004,33.476,,
2021-01-26,33.74,34.49,35.67,33.51,5723,28032411.0,6.37,1.68,0.57,3.23,34.12,33.682,,
2021-01-27,34.47,34.26,34.58,33.64,3149,15050118.0,2.73,-0.67,-0.23,1.78,34.116,33.937,,
2021-01-28,33.88,33.4,34.42,33.34,2995,14244317.0,3.15,-2.51,-0.86,1.69,33.958,34.055,,
2021-01-29,33.36,32.47,33.71,32.0,3677,16868886.0,5.12,-2.78,-0.93,2.07,33.708,33.913,,
2021-02-01,32.36,33.05,33.44,32.36,2785,12885538.0,3.33,1.79,0.58,1.57,33.534000000000006,33.846999999999994,,
2021-02-02,33.05,33.08,33.48,32.79,2046,9532418.0,2.09,0.09,0.03,1.15,33.251999999999995,33.686,,
2021-02-03,32.74,32.09,33.11,32.01,2824,12879392.0,3.33,-2.99,-0.99,1.59,32.818,33.467,,
2021-02-04,32.01,31.15,32.36,30.74,3635,16073073.0,5.05,-2.93,-0.94,2.05,32.368,33.163,,
2021-02-05,31.14,31.44,32.19,31.01,2972,13215115.0,3.79,0.93,0.29,1.68,32.162,32.935,,
2021-02-08,31.33,31.43,31.6,31.16,1841,8123942.0,1.4,-0.03,-0.01,1.04,31.838,32.68599999999999,,
2021-02-09,31.4,31.66,31.93,31.31,1979,8790523.0,1.97,0.73,0.23,1.12,31.554000000000002,32.403,,
2021-02-10,31.72,31.81,32.0,31.67,2323,10399126.0,1.04,0.47,0.15,1.31,31.498,32.158,,
2021-02-18,32.71,32.52,32.71,31.83,3401,15499601.0,2.77,2.23,0.71,1.92,31.772000000000002,32.07,,
2021-02-19,32.46,33.18,33.28,32.25,3368,15577214.0,3.17,2.03,0.66,1.9,32.12,32.141,33.18566666666667,
2021-02-22,33.04,33.58,33.97,32.99,4563,21555899.0,2.95,1.21,0.4,2.57,32.55,32.194,33.116,
2021-02-23,33.44,32.88,33.55,32.72,4183,19421839.0,2.47,-2.08,-0.7,2.36,32.794,32.174,33.03033333333333,
2021-02-24,32.82,33.13,33.29,32.82,3080,14328607.0,1.43,0.76,0.25,1.74,33.058,32.278000000000006,32.97533333333333,
2021-02-25,33.06,33.04,33.27,32.84,2382,11058194.0,1.3,-0.27,-0.09,1.34,33.162,32.467,32.967666666666666,
2021-02-26,32.65,33.47,33.7,32.59,3293,15361099.0,3.36,1.3,0.43,1.86,33.220000000000006,32.67,32.97266666666666,
