日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,12.58,12.84,12.93,12.52,20072,27722784.0,3.24,1.34,0.17,0.69
2021-01-05,12.84,12.84,12.98,12.61,23088,31888555.0,2.88,0.0,0.0,0.79
2021-01-06,12.68,12.24,12.84,11.97,33263,44408748.0,6.78,-4.67,-0.6,1.14
2021-01-07,12.24,11.54,12.24,11.47,44358,56527304.0,6.29,-5.72,-0.7,1.52
2021-01-08,11.55,11.54,11.83,11.21,29579,37331739.0,5.37,0.0,0.0,1.02
2021-01-11,11.54,10.86,11.63,10.78,38511,46774756.0,7.37,-5.89,-0.68,1.32
2021-01-12,10.86,10.88,11.49,10.72,38566,46733451.0,7.09,0.18,0.02,1.32
2021-01-13,10.87,10.25,11.01,10.19,48065,55085324.0,7.54,-5.79,-0.63,1.65
2021-01-14,10.33,10.27,10.42,9.97,36437,41077847.0,4.39,0.2,0.02,1.25
2021-01-15,10.17,10.63,10.69,10.12,38682,44507659.0,5.55,3.51,0.36,1.33
2021-01-18,10.68,10.89,11.06,10.59,30706,36637468.0,4.42,2.45,0.26,1.05
2021-01-19,10.8,11.03,11.11,10.78,28301,33940341.0,3.03,1.29,0.14,0.97
2021-01-20,11.08,10.91,11.2,10.77,24722,29541570.0,3.9,-1.09,-0.12,0.85
2021-01-21,11.03,11.05,11.52,11.03,47014,57668642.0,4.49,1.28,0.14,1.61
2021-01-22,10.87,11.84,12.2,10.72,87018,109734377.0,13.39,7.15,0.79,2.99
2021-01-25,11.6,11.12,11.65,11.09,60252,74301163.0,4.73,-6.08,-0.72,2.07
2021-01-26,10.99,10.67,11.23,10.6,38401,45610005.0,5.67,-4.05,-0.45,1.32
2021-01-27,10.77,10.56,10.85,10.5,23849,27835939.0,3.28,-1.03,-0.11,0.82
2021-01-28,10.46,10.17,10.67,10.13,31085,35332652.0,5.11,-3.69,-0.39,1.07
2021-01-29,10.11,9.47,10.32,9.34,59902,64380017.0,9.64,-6.88,-0.7,2.06
2021-02-01,9.44,9.19,9.65,9.15,42694,44224968.0,5.28,-2.96,-0.28,1.47
2021-02-02,9.11,9.23,9.54,8.95,35002,35954449.0,6.42,0.44,0.04,1.2
2021-02-03,9.32,8.92,9.32,8.89,31488,31672588.0,4.66,-3.36,-0.31,1.08
2021-02-04,9.07,8.77,9.12,8.48,33840,33460249.0,7.17,-1.68,-0.15,1.16
2021-02-05,8.81,8.89,9.3,8.81,39058,39446447.0,5.59,1.37,0.12,1.34
2021-02-08,8.89,8.84,9.17,8.8,22686,22607202.0,4.16,-0.56,-0.05,0.78
2021-02-09,8.85,9.26,9.42,8.84,31404,32011954.0,6.56,4.75,0.42,1.08
2021-02-10,9.31,8.96,9.38,8.95,47706,48176881.0,4.64,-3.24,-0.3,1.64
2021-02-18,9.05,9.34,9.39,9.05,35990,37016155.0,3.79,4.24,0.38,1.24
2021-02-19,9.25,9.66,9.73,9.22,36007,38137009.0,5.46,3.43,0.32,1.24
2021-02-22,9.86,9.77,10.29,9.77,55331,61192424.0,5.38,1.14,0.11,1.9
2021-02-23,9.77,9.98,10.12,9.69,45584,50008285.0,4.4,2.15,0.21,1.57
2021-02-24,10.0,9.78,10.15,9.66,39980,43690662.0,4.91,-2.0,-0.2,1.37
2021-02-25,9.82,9.53,9.93,9.47,28228,30039478.0,4.7,-2.56,-0.25,0.97
2021-02-26,9.49,9.77,9.91,9.46,33930,36610459.0,4.72,2.52,0.24,1.17
2021-03-01,9.79,10.05,10.25,9.79,29941,33155917.0,4.71,2.87,0.28,1.03
2021-03-02,10.09,9.84,10.2,9.81,24805,27158182.0,3.88,-2.09,-0.21,0.85
2021-03-03,9.84,9.79,9.99,9.63,22775,24625099.0,3.66,-0.51,-0.05,0.78
2021-03-04,9.84,9.64,9.88,9.54,24437,26226045.0,3.47,-1.53,-0.15,0.84
2021-03-05,9.51,9.81,9.91,9.51,25041,27025672.0,4.15,1.76,0.17,0.86
2021-03-08,9.85,9.76,10.13,9.73,32899,36091892.0,4.08,-0.51,-0.05,1.13
2021-03-09,9.8,9.3,9.84,9.28,36504,38307136.0,5.74,-4.71,-0.46,1.25
2021-03-10,9.39,9.05,9.48,9.02,21554,22056312.0,4.95,-2.69,-0.25,0.74
2021-03-11,9.37,10.27,10.8,9.36,111215,125452912.0,15.91,13.48,1.22,3.82
2021-03-12,10.13,10.07,10.37,9.91,78103,86489858.0,4.48,-1.95,-0.2,2.68
2021-03-15,9.97,9.91,10.13,9.82,42138,46326756.0,3.08,-1.59,-0.16,1.45
2021-03-16,9.85,10.05,10.07,9.85,32397,35674084.0,2.22,1.41,0.14,1.11
2021-03-17,10.02,10.18,10.36,9.89,45759,51135070.0,4.68,1.29,0.13,1.57
2021-03-18,10.15,10.07,10.27,10.0,32298,36044456.0,2.65,-1.08,-0.11,1.11
2021-03-19,9.93,10.04,10.2,9.93,23903,26523898.0,2.68,-0.3,-0.03,0.82
2021-03-22,10.14,10.09,10.26,9.89,33537,37073656.0,3.69,0.5,0.05,1.15
