日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,6.39,6.73,6.75,6.38,3679,4118992.0,5.66,2.91,0.19,1.03
2021-01-05,6.75,6.74,6.85,6.56,3070,3480757.0,4.31,0.15,0.01,0.86
2021-01-06,6.81,6.81,6.83,6.56,930,1064358.0,4.01,1.04,0.07,0.26
2021-01-07,6.83,6.79,6.83,6.6,1152,1327953.0,3.38,-0.29,-0.02,0.32
2021-01-08,6.62,6.83,6.86,6.62,850,983300.0,3.53,0.59,0.04,0.24
2021-01-11,6.79,6.84,6.92,6.78,1931,2237325.0,2.05,0.15,0.01,0.54
2021-01-12,6.63,6.81,6.88,6.63,1106,1272026.0,3.65,-0.44,-0.03,0.31
2021-01-13,6.9,6.67,6.9,6.34,2230,2478548.0,8.22,-2.06,-0.14,0.63
2021-01-14,6.66,6.4,6.67,6.31,2704,2953226.0,5.4,-4.05,-0.27,0.76
2021-01-15,6.33,6.36,6.41,6.25,1640,1775490.0,2.5,-0.63,-0.04,0.46
2021-01-18,6.26,6.16,6.61,6.11,2579,2761785.0,7.86,-3.14,-0.2,0.72
2021-01-19,6.21,6.53,6.53,6.06,2485,2666378.0,7.63,6.01,0.37,0.7
2021-01-20,6.32,6.84,6.84,6.32,2015,2292397.0,7.96,4.75,0.31,0.57
2021-01-21,7.0,7.43,7.63,6.95,5536,6840469.0,9.94,8.63,0.59,1.56
2021-01-22,7.3,7.84,7.85,7.3,5510,7019938.0,7.4,5.52,0.41,1.55
2021-01-25,7.82,8.13,8.3,7.82,3807,5226558.0,6.12,3.7,0.29,1.07
2021-01-26,8.13,7.78,8.13,7.3,1801,2401113.0,10.21,-4.31,-0.35,0.51
2021-01-27,7.62,7.85,7.85,7.61,1390,1815484.0,3.08,0.9,0.07,0.39
2021-01-28,7.51,7.98,8.11,7.51,1614,2172765.0,7.64,1.66,0.13,0.45
2021-01-29,7.76,8.03,8.18,7.76,2755,3692081.0,5.26,0.63,0.05,0.77
2021-02-01,8.1,7.99,8.16,7.78,1388,1867461.0,4.73,-0.5,-0.04,0.39
2021-02-02,7.99,7.96,8.06,7.9,1011,1356255.0,2.0,-0.38,-0.03,0.28
2021-02-03,8.0,7.81,8.0,7.57,1372,1807308.0,5.4,-1.88,-0.15,0.39
2021-02-04,7.63,7.56,7.81,7.38,4334,5545085.0,5.51,-3.2,-0.25,1.22
2021-02-05,7.69,7.52,7.69,7.25,1570,1978555.0,5.82,-0.53,-0.04,0.44
2021-02-08,7.58,7.5,7.58,7.22,2045,2532605.0,4.79,-0.27,-0.02,0.57
2021-02-09,7.31,7.44,7.5,7.28,1900,2381003.0,2.93,-0.8,-0.06,0.53
2021-02-10,7.2,7.64,7.69,7.2,1083,1371412.0,6.59,2.69,0.2,0.3
2021-02-18,7.41,7.61,7.62,7.38,1179,1497166.0,3.14,-0.39,-0.03,0.33
2021-02-19,7.45,7.46,7.58,7.43,837,1057700.0,1.97,-1.97,-0.15,0.24
2021-02-22,7.48,7.41,7.6,7.31,1145,1439130.0,3.89,-0.67,-0.05,0.32
2021-02-23,7.68,7.24,7.68,7.06,1634,2018201.0,8.37,-2.29,-0.17,0.46
2021-02-24,7.38,7.16,7.38,7.1,635,773476.0,3.87,-1.1,-0.08,0.18
2021-02-25,7.07,7.31,7.31,7.07,570,691764.0,3.35,2.09,0.15,0.16
2021-02-26,7.35,7.3,7.35,7.15,5999,7230310.0,2.74,-0.14,-0.01,1.69
2021-03-01,7.64,7.83,8.56,7.48,5197,6846210.0,14.79,7.26,0.53,1.46
2021-03-02,7.7,7.72,7.81,7.66,935,1219452.0,1.92,-1.4,-0.11,0.26
2021-03-03,7.88,7.96,8.0,7.61,1925,2541217.0,5.05,3.11,0.24,0.54
2021-03-04,7.71,7.83,8.11,7.71,1657,2233234.0,5.03,-1.63,-0.13,0.47
2021-03-05,7.77,7.9,7.97,7.76,949,1255725.0,2.68,0.89,0.07,0.27
2021-03-08,7.87,7.8,7.96,7.68,3133,3521808.0,3.54,-1.27,-0.1,0.88
2021-03-09,7.8,7.73,7.93,7.56,1231,1595821.0,4.74,-0.9,-0.07,0.35
2021-03-10,7.6,7.63,7.72,7.06,1341,1712916.0,8.54,-1.29,-0.1,0.38
2021-03-11,7.46,7.56,7.79,7.46,818,1043176.0,4.33,-0.92,-0.07,0.23
2021-03-12,7.69,7.58,7.69,7.41,777,990540.0,3.7,0.26,0.02,0.22
2021-03-15,7.38,7.46,7.56,7.38,1227,1546531.0,2.37,-1.58,-0.12,0.34
2021-03-16,7.38,7.38,7.38,7.24,2290,2832964.0,1.88,-1.07,-0.08,0.64
2021-03-17,7.22,7.3,7.4,7.22,1444,1781392.0,2.44,-1.08,-0.08,0.41
2021-03-18,7.25,7.61,7.63,7.25,3221,4023589.0,5.21,4.25,0.31,0.9
2021-03-19,7.44,7.63,7.68,7.44,3280,4233979.0,3.15,0.26,0.02,0.92
2021-03-22,7.66,8.15,8.16,7.66,3014,4083661.0,6.55,6.82,0.52,0.85
