日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,5.11,5.1,5.2,5.09,20417,10467485.0,2.16,0.0,0.0,0.38
2021-01-05,5.1,5.03,5.1,4.94,26277,13198146.0,3.14,-1.37,-0.07,0.48
2021-01-06,5.0,5.13,5.13,4.94,35414,17862429.0,3.78,1.99,0.1,0.65
2021-01-07,5.11,4.97,5.11,4.97,13701,6876363.0,2.73,-3.12,-0.16,0.25
2021-01-08,5.09,4.99,5.1,4.97,17279,8710149.0,2.62,0.4,0.02,0.32
2021-01-11,4.97,4.76,4.97,4.76,23528,11420573.0,4.21,-4.61,-0.23,0.43
2021-01-12,4.75,4.71,4.76,4.69,11754,5548762.0,1.47,-1.05,-0.05,0.22
2021-01-13,4.71,4.49,4.71,4.45,22439,10178851.0,5.52,-4.67,-0.22,0.41
2021-01-14,4.5,4.48,4.54,4.42,11525,5182905.0,2.67,-0.22,-0.01,0.21
2021-01-15,4.49,4.53,4.57,4.45,12470,5625660.0,2.68,1.12,0.05,0.23
2021-01-18,4.55,4.5,4.55,4.48,9692,4379581.0,1.55,-0.66,-0.03,0.18
2021-01-19,4.5,4.55,4.58,4.5,12184,5544760.0,1.78,1.11,0.05,0.22
2021-01-20,4.54,4.54,4.6,4.5,8983,4083290.0,2.2,-0.22,-0.01,0.17
2021-01-21,4.54,4.59,4.61,4.51,15397,7031884.0,2.2,1.1,0.05,0.28
2021-01-22,4.59,4.57,4.64,4.52,13753,6278790.0,2.61,-0.44,-0.02,0.25
2021-01-25,4.6,4.37,4.6,4.36,13161,5859217.0,5.25,-4.38,-0.2,0.24
2021-01-26,4.42,4.33,4.42,4.3,5994,2609852.0,2.75,-0.92,-0.04,0.11
2021-01-27,4.33,4.29,4.35,4.21,8862,3798743.0,3.23,-0.92,-0.04,0.16
2021-01-28,4.28,4.22,4.31,4.22,5828,2488193.0,2.1,-1.63,-0.07,0.11
2021-01-29,4.26,4.23,4.34,4.23,7434,3175574.0,2.61,0.24,0.01,0.14
2021-02-01,4.23,4.23,4.36,4.13,19402,8162573.0,5.44,0.0,0.0,0.36
2021-02-02,4.21,4.06,4.21,4.02,18889,7752376.0,4.49,-4.02,-0.17,0.35
2021-02-03,4.1,4.0,4.11,3.93,18015,7202789.0,4.43,-1.48,-0.06,0.33
2021-02-04,3.96,3.81,3.98,3.78,18613,7189101.0,5.0,-4.75,-0.19,0.34
2021-02-05,3.84,3.86,3.93,3.82,14817,5750168.0,2.89,1.31,0.05,0.27
2021-02-08,4.13,3.92,4.13,3.87,11622,4561699.0,6.74,1.55,0.06,0.21
2021-02-09,3.9,3.92,3.95,3.87,9556,3734821.0,2.04,0.0,0.0,0.18
2021-02-10,3.95,3.95,3.99,3.91,9163,3608817.0,2.04,0.77,0.03,0.17
2021-02-18,3.97,4.1,4.2,3.96,27237,11138141.0,6.08,3.8,0.15,0.5
2021-02-19,4.1,4.3,4.42,4.08,48769,20832586.0,8.29,4.88,0.2,0.9
