日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-01-04,39.4,40.81,41.7,39.01,894923,3622822976.0,6.89,4.59,1.79,7.59
2021-01-05,40.4,41.45,42.29,39.65,778643,3215103968.0,6.47,1.57,0.64,6.61
2021-01-06,41.71,41.11,42.19,39.53,692565,2818185808.0,6.42,-0.82,-0.34,5.88
2021-01-07,41.5,44.3,44.44,41.12,865788,3698012128.0,8.08,7.76,3.19,7.35
2021-01-08,44.9,42.89,45.02,40.9,848993,3594839680.0,9.3,-3.18,-1.41,7.2
2021-01-11,43.95,39.63,44.57,39.58,952593,3959346416.0,11.63,-7.6,-3.26,8.08
2021-01-12,39.22,42.57,43.4,38.86,849628,3527202688.0,11.46,7.42,2.94,7.21
2021-01-13,42.01,39.03,43.33,38.3,946496,3848204400.0,11.82,-8.32,-3.54,8.03
2021-01-14,38.9,37.24,39.69,36.71,692106,2613261328.0,7.64,-4.59,-1.79,5.87
2021-01-15,37.23,38.29,38.9,36.49,540780,2043552752.0,6.47,2.82,1.05,4.59
2021-01-18,37.3,37.7,38.7,36.61,459289,1735031904.0,5.46,-1.54,-0.59,3.9
2021-01-19,37.69,36.9,38.03,36.65,395381,1475504848.0,3.66,-2.12,-0.8,3.35
2021-01-20,36.85,37.6,38.49,36.85,488827,1853021840.0,4.44,1.9,0.7,4.15
2021-01-21,37.84,38.55,39.0,36.58,567716,2167800256.0,6.44,2.53,0.95,4.82
2021-01-22,38.11,42.11,42.28,38.08,794554,3219519632.0,10.89,9.23,3.56,6.74
2021-01-25,41.38,43.06,45.34,41.27,947978,4132803936.0,9.67,2.26,0.95,8.04
2021-01-26,42.93,42.88,43.58,41.58,579456,2471972864.0,4.64,-0.42,-0.18,4.92
2021-01-27,42.91,41.7,43.45,39.66,656613,2712964080.0,8.84,-2.75,-1.18,5.57
2021-01-28,39.95,38.74,40.36,38.2,587943,2313893136.0,5.18,-7.1,-2.96,4.99
2021-01-29,38.93,36.49,39.55,35.85,600956,2244997872.0,9.55,-5.81,-2.25,5.1
2021-02-01,36.68,37.32,38.86,36.68,569311,2159306480.0,5.97,2.27,0.83,4.83
2021-02-02,37.35,37.84,38.66,36.79,441499,1675914208.0,5.01,1.39,0.52,3.75
2021-02-03,38.15,37.8,39.68,37.79,455579,1758984016.0,4.99,-0.11,-0.04,3.87
2021-02-04,38.2,36.8,38.59,35.48,539493,1990337152.0,8.23,-2.65,-1.0,4.58
2021-02-05,36.8,37.41,40.2,36.79,765921,2954323312.0,9.27,1.66,0.61,6.5
2021-02-08,37.81,38.66,39.24,36.9,447981,1716440320.0,6.26,3.34,1.25,3.8
2021-02-09,38.71,40.17,40.48,38.27,542425,2151166096.0,5.72,3.91,1.51,4.6
2021-02-10,39.89,40.35,40.9,38.51,586316,2327316864.0,5.95,0.45,0.18,4.97
2021-02-18,41.2,40.23,41.28,38.42,487931,1939349424.0,7.09,-0.3,-0.12,4.14
2021-02-19,39.46,39.37,39.85,38.49,309563,1214085184.0,3.38,-2.14,-0.86,2.63
2021-02-22,39.2,38.74,39.96,37.78,400892,1563613968.0,5.54,-1.6,-0.63,3.4
2021-02-23,38.89,40.18,41.67,38.3,560707,2259717232.0,8.7,3.72,1.44,4.76
2021-02-24,40.55,40.94,43.0,40.55,734805,3079715072.0,6.1,1.89,0.76,6.23
2021-02-25,41.7,38.5,41.89,38.13,561879,2207030640.0,9.18,-5.96,-2.44,4.77
2021-02-26,37.09,36.79,37.74,36.31,308319,1142927216.0,3.71,-4.44,-1.71,2.62
2021-03-01,37.88,37.88,38.22,37.2,229651,868467008.0,2.77,2.96,1.09,1.95
2021-03-02,38.35,36.99,38.48,36.8,261815,986433456.0,4.44,-2.35,-0.89,2.22
2021-03-03,36.99,37.68,37.89,36.33,253936,947268496.0,4.22,1.87,0.69,2.15
2021-03-04,37.04,34.64,37.05,34.43,427678,1528733296.0,6.95,-8.07,-3.04,3.63
2021-03-05,33.9,34.51,35.15,32.98,276736,947912160.0,6.26,-0.38,-0.13,2.35
2021-03-08,35.1,32.59,35.1,32.4,309219,1044271360.0,7.82,-5.56,-1.92,2.62
2021-03-09,32.71,32.96,33.9,31.51,336052,1104955024.0,7.33,1.14,0.37,2.85
2021-03-10,33.9,33.62,34.37,33.1,205520,694162160.0,3.85,2.0,0.66,1.74
2021-03-11,34.0,36.7,36.9,33.92,483365,1736847920.0,8.86,9.16,3.08,4.1
2021-03-12,36.9,38.42,38.86,36.33,450968,1705337456.0,6.89,4.69,1.72,3.83
2021-03-15,38.0,36.7,38.15,36.08,330773,1223774640.0,5.39,-4.48,-1.72,2.81
2021-03-16,37.17,35.34,37.38,34.9,278029,1000660896.0,6.76,-3.71,-1.36,2.36
2021-03-17,35.7,37.5,37.89,35.56,342667,1275272848.0,6.59,6.11,2.16,2.91
