code,name,总市值,流通市值,行业,总股本,流通股
000520,凤凰航运,2388516953.7999997,2388516953.7999997,航运港口,1012083455.0,1012083455.0
000521,长虹美菱,8218791245.700001,6984993422.820001,家电行业,1029923715.0,875312459.0
000523,红棉股份,4882346106.26,3662285930.52,食品饮料,1835468461.0,1376799222.0
000524,岭南控股,5368370861.97,5367166198.0199995,旅游酒店,670208597.0,670058202.0
000525,ST红太阳,3182635344.0400004,3181825438.4,农药兽药,580772873.0,580625080.0
000526,学大教育,7753697774.41,7476754394.41,教育,122124709.0,117762709.0
000528,柳    工,22156226827.68,16084560392.4,工程机械,1964204506.0,1425936205.0
000529,广弘控股,3450200850.3,3368016668.07,食品饮料,583790330.0,569884377.0
000530,冰山冷热,3086157775.62,2196152303.58,通用设备,843212507.0,600041613.0
000531,穗恒运Ａ,5550669099.56,4381789716.72,电力行业,1041401332.0,822099384.0
000532,华金资本,4153735497.0000005,4139774439.3,综合行业,344708340.0,343549746.0
000533,顺钠股份,2265876480.0,2246479872.0,电网设备,690816000.0,684902400.0
000534,万泽股份,5121693081.88,4992275741.13,生物制品,510637396.0,497734371.0
000536,华映科技,5559725934.03,5553795857.16,光学光电子,2766032803.0,2763082516.0
000537,中绿电,20335367143.68,18327203884.8,电力行业,2066602352.0,1862520720.0
000538,云南白药,92460488087.46,91854901015.9,中药,1784262603.0,1772576245.0
000539,粤电力Ａ,26986459688.039997,13127111272.859999,电力行业,5250283986.0,2553912699.0
000541,佛山照明,7558037762.4,5839293051.599999,家电行业,1548778230.0,1196576445.0
000543,皖能电力,19268338313.5,19268338313.5,电力行业,2266863331.0,2266863331.0
000544,中原环保,7719501144.96,7719501144.96,公用事业,974684488.0,974684488.0
000545,金浦钛业,1707221256.08,1704747356.08,化学原料,986833096.0,985403096.0
000546,金圆股份,3278672060.02,2994370726.34,环保行业,778781962.0,711251954.0
000547,航天发展,9478916835.17,9418919627.279999,通信设备,1598468269.0,1588350696.0
000548,湖南投资,2011839718.3300002,2011730908.3300002,铁路公路,499215811.0,499188811.0
000550,江铃汽车,19353257880.0,11623944047.2,汽车整车,863214000.0,518463160.0
000551,创元科技,3571225676.2,3548215651.24,环保行业,403984805.0,401381861.0
000552,甘肃能化,18677765265.45,13002939575.480001,煤炭行业,5351795205.0,3725770652.0
000553,安道麦A,11159798359.14,10428153138.19,农药兽药,2329811766.0,2177067461.0
000554,泰山石油,2437622122.26,1838651708.7900002,石油行业,480793318.0,362653197.0
000555,神州信息,9191795196.539999,9159181743.539999,互联网服务,975774437.0,972312287.0
000557,西部创业,5643910224.45,5642135686.26,物流行业,1458374735.0,1457916198.0
000558,莱茵体育,2836292687.8,2835106137.6000004,旅游酒店,1289223949.0,1288684608.0
000559,万向钱潮,15032250615.199999,15031515539.949999,汽车零部件,3303791344.0,3303629789.0
000560,我爱我家,5229211889.22,4992587328.42,房地产服务,2355500851.0,2248913211.0
000561,烽火电子,3861303045.0299997,3846950523.54,通信设备,604272777.0,602026686.0
000563,陕国投Ａ,14267977298.82,14267977298.82,多元金融,5113970358.0,5113970358.0
000564,供销大集,32961697016.2,26112525857.6,商业百货,19163777335.0,15181701080.0
000565,渝三峡Ａ,1764720335.4,1764720335.4,化学制品,433592220.0,433592220.0
000566,海南海药,3879121726.7400002,3486070101.67,化学制药,1297365126.0,1165909733.0
000567,海德股份,11102083440.4,11075605558.08,多元金融,1954592155.0,1949930556.0
000568,泸州老窖,219797213667.08,219092030704.8,酿酒行业,1471987769.0,1467265140.0
000570,苏常柴Ａ,3168559356.4300003,2239945723.7400002,汽车零部件,705692507.0,498874326.0
000571,新大洲A,2417669100.0,2360705342.5,煤炭行业,833679000.0,814036325.0
000572,海马汽车,5114819284.86,5107102746.639999,汽车整车,1644636426.0,1642155224.0
000573,粤宏远Ａ,1416982940.88,1405181898.18,房地产开发,638280604.0,632964819.0
000576,甘化科工,2685855037.36,2596063520.7,综合行业,438149272.0,423501390.0
000581,威孚高科,16649671093.099998,13757461970.599998,汽车零部件,996986293.0,823800118.0
000582,北部湾港,17036117092.28,10557681926.44,航运港口,2277555761.0,1411454803.0
000584,*ST工智,882687589.3199999,880425406.04,专用设备,760937577.0,758987419.0
000586,汇源通信,1512700800.0,1512700800.0,通信设备,193440000.0,193440000.0
000589,贵州轮胎,8056224028.719999,7925956870.719999,橡胶制品,1555255604.0,1530107504.0
000590,启迪药业,1288355416.46,1287844101.26,中药,239471267.0,239376227.0
000591,太阳能,18423750777.99,16944515823.66,电力行业,3911624369.0,3597561746.0
000592,平潭发展,2665857630.9599996,2641232942.7,农牧饲渔,1931780892.0,1913936915.0
000593,德龙汇能,1674806812.03,1673949213.23,燃气,358631009.0,358447369.0
000595,宝塔实业,3871431644.4,3869914571.2,通用设备,1138656366.0,1138210168.0
000596,古井贡酒,120261786000.0,92960586000.0,酿酒行业,528600000.0,408600000.0
000597,东北制药,5659248929.4,5442084418.32,化学制药,1429103265.0,1374263742.0
000598,兴蓉环境,21850173069.72,21729978669.72,公用事业,2984996321.0,2968576321.0
000599,青岛双星,2932164763.33,2932114952.08,橡胶制品,816758987.0,816745112.0
000600,建投能源,11290028106.24,6801880026.24,电力行业,1809299376.0,1090044876.0
000601,韶能股份,3944013591.85,3941505669.5499997,电力行业,1080551669.0,1079864567.0
000603,盛达资源,8369328166.9800005,7672101989.67,有色金属,689969346.0,632489859.0
000605,渤海股份,1636335904.0,1566666712.32,公用事业,352658600.0,337643688.0
000607,华媒控股,3246457927.9,2822826454.25,文化传媒,1017698410.0,884898575.0
000608,阳光股份,1124869963.5,1124869963.5,房地产服务,749913309.0,749913309.0
000609,*ST中迪,589553078.34,575416358.34,房地产开发,299265522.0,292089522.0
000610,西安旅游,2985391031.6099997,2969516214.3399997,旅游酒店,236747901.0,235488994.0
000612,焦作万方,7904281982.22,7899115554.72,有色金属,1192199394.0,1191420144.0
000615,*ST美谷,1373363494.2,1371130171.2,美容护理,762979719.0,761738984.0
000617,中油资本,70163538888.45,70163538888.45,多元金融,12642079079.0,12642079079.0
000619,海螺新材,1795557142.17,1465200000.0,装修建材,441168831.0,360000000.0
000620,新华联,10451830771.2,7378186890.7,综合行业,5871815040.0,4145048815.0
000622,*ST恒立,710127420.0,710127420.0,汽车零部件,425226000.0,425226000.0
000623,吉林敖东,16216341447.720001,16157849791.08,化学制药,1195895387.0,1191581843.0
000625,长安汽车,134577612177.81,111464043507.6,汽车整车,9917289033.0,8214004680.0
000626,远大控股,2224069827.68,2193519467.9500003,贸易行业,508940464.0,501949535.0
000627,天茂集团,8942538788.65,8240032538.650001,保险,4940629165.0,4552504165.0
000628,高新发展,15447478000.0,8422446654.0,工程建设,352280000.0,192074040.0
000629,钒钛股份,23795285107.2,23540412595.2,钢铁行业,9295033245.0,9195473670.0
000630,铜陵有色,46054513443.6,37895270997.6,有色金属,12792920401.0,10526464166.0
000631,顺发恒业,5820528174.120001,5820528174.120001,房地产开发,2395279084.0,2395279084.0
000632,三木集团,1284834013.1999998,1284729232.56,综合行业,465519570.0,465481606.0
000633,合金投资,1644404212.7099998,1644391722.9599998,有色金属,385106373.0,385103448.0
000635,英 力 特,1823493036.0,1818525612.0,化学原料,303915506.0,303087602.0
000636,风华高科,15029601610.89,15029563615.14,电子元件,1157013211.0,1157010286.0
000637,茂化实华,1694793660.56,1199726471.3,石油行业,519875356.0,368014255.0
000638,万方发展,1086739062.99,1082408147.49,农牧饲渔,311386551.0,310145601.0
000639,西王食品,2633804551.7999997,2633801323.68,食品饮料,1079428095.0,1079426772.0
000650,仁和药业,8399629404.0,7988315004.0,中药,1399938234.0,1331385834.0
000651,格力电器,224749403123.30997,222823501334.19998,家电行业,5631405741.0,5583149620.0
000652,泰达股份,4515255987.12,4511821158.54,综合行业,1475573852.0,1474451359.0
000655,金岭矿业,3369625701.8,3369625701.8,钢铁行业,595340230.0,595340230.0
000656,*ST金科,5606701606.8,5575045210.35,房地产开发,5339715816.0,5309566867.0
000657,中钨高新,13247144520.720001,11753215665.36,小金属,1397378114.0,1239790682.0
000659,珠海中富,1709984351.6000001,1709984351.6000001,包装材料,1285702520.0,1285702520.0
000661,长春高新,38695201251.200005,38457661299.200005,生物制品,404423090.0,401940440.0
000663,永安林业,1437640376.83,1307888864.6599998,装修建材,336683929.0,306297158.0
000665,湖北广电,3993756145.28,3993618284.48,文化传媒,1134589814.0,1134550649.0
000668,荣丰控股,894267110.1,894267110.1,房地产开发,146841890.0,146841890.0
000669,ST金鸿,932160051.8900001,932160051.8900001,燃气,680408797.0,680408797.0
000670,盈方微,3787821625.6,3220595935.52,半导体,849287360.0,722106712.0
000672,上峰水泥,6078109471.5,6078109471.5,水泥建材,969395450.0,969395450.0
000676,智度股份,8029228853.88,8019767297.5,互联网服务,1276506972.0,1275002750.0
000677,恒天海龙,2514175828.6800003,2514175828.6800003,化纤行业,863977948.0,863977948.0
000678,襄阳轴承,1764909300.48,1764909300.48,汽车零部件,459611797.0,459611797.0
000679,大连友谊,880308000.0000001,880308000.0000001,商业百货,356400000.0,356400000.0
000680,山推股份,13592966352.720001,11850432253.800001,工程机械,1500327412.0,1307994730.0
000681,视觉中国,8273819519.160001,7965860270.33,文化传媒,700577436.0,674501293.0
000682,东方电子,14560295296.019999,14558857975.019999,电网设备,1340727007.0,1340594657.0
000683,远兴能源,26638001678.399998,23437192964.219997,化学原料,3730812560.0,3282520023.0
000685,中山公用,10679806181.24,9078686045.64,公用事业,1475111351.0,1253962161.0
000686,东北证券,13457604261.25,13457604261.25,证券,2340452915.0,2340452915.0
000688,国城矿业,11344643439.15,11344599591.15,有色金属,1117698861.0,1117694541.0
000690,宝新能源,10922957067.24,10915846302.5,电力行业,2175887862.0,2174471375.0
000691,亚太实业,1209029800.0,1209029800.0,化学制品,323270000.0,323270000.0
000692,惠天热电,1582513938.72,1582501761.72,公用事业,532832976.0,532828876.0
000695,滨海能源,1786066213.5599997,1782639565.5599997,造纸印刷,222147539.0,221721339.0
000697,炼石航空,5238605256.0,3488711430.0,航天航空,873100876.0,581451905.0
000698,沈阳化工,2565080056.35,2459273780.49,石油行业,819514395.0,785710473.0
000700,模塑科技,4957283100.6,4957283100.6,汽车零部件,918015389.0,918015389.0
000701,厦门信达,2576917897.5,2401180867.5,商业百货,687178106.0,640314898.0
000702,正虹科技,1504352274.32,1157194059.84,农牧饲渔,346624948.0,266634576.0
000703,恒逸石化,26250725047.96,26114923654.96,化纤行业,3666302381.0,3647335706.0
000705,浙江震元,2399005193.48,2023957642.1799998,医药商业,334123286.0,281888251.0
000707,双环科技,3235095982.0499997,3235095982.0499997,化学原料,464145765.0,464145765.0
000708,中信特钢,70508775369.01001,70508775369.01001,钢铁行业,5047156433.0,5047156433.0
000709,河钢股份,20260757340.32,20257408153.079998,钢铁行业,10337121092.0,10335412323.0
000710,贝瑞基因,2626664484.95,2229182807.72,医疗器械,353521465.0,300024604.0
000711,*ST京蓝,4999708390.25,1747270918.75,环保行业,2856976223.0,998440525.0
000712,锦龙股份,7087360000.0,7081354530.25,证券,896000000.0,895240775.0
000713,丰乐种业,3438483888.0,3438483888.0,农牧饲渔,614014980.0,614014980.0
000715,中兴商业,2024551237.8,2021339735.78,商业百货,415718940.0,415059494.0
000716,黑芝麻,2848190499.0,2648614762.08,食品饮料,753489550.0,700691736.0
000717,中南股份,4241729782.5,4241166720.0,钢铁行业,2423845590.0,2423523840.0
000718,苏宁环球,5249920944.32,3961274804.06,房地产开发,3034636384.0,2289754222.0
000719,中原传媒,10457142314.78,6818247889.46,文化传媒,1023203749.0,667147543.0
000720,新能泰山,3091067664.66,3091067664.66,电网设备,1256531571.0,1256531571.0
000721,西安饮食,3965747868.28,3023138267.2000003,旅游酒店,573914308.0,437501920.0
000722,湖南发展,4247048280.3,4247048280.3,电力行业,464158282.0,464158282.0
000723,美锦能源,21285079334.04,21137980829.64,煤炭行业,4326235637.0,4296337567.0
000725,京东方Ａ,150223425849.84,147042296006.34,光学光电子,37649981416.0,36852705766.0
000726,鲁  泰Ａ,5533560345.92,3989570322.29,纺织服装,817364896.0,589301377.0
000727,冠捷科技,9285612309.0,9285612309.0,光学光电子,4529566980.0,4529566980.0
000728,国元证券,27142698482.02,27142698482.02,证券,4363777891.0,4363777891.0
000729,燕京啤酒,25535966429.460003,22736614669.08,酿酒行业,2818539341.0,2509560118.0
000731,四川美丰,3849779832.8,3849779832.8,化肥行业,573737680.0,573737680.0
000733,振华科技,23701826563.870003,23684923859.870003,电子元件,554169431.0,553774231.0
000735,罗 牛 山,5078174878.9800005,5075458049.97,农牧饲渔,1151513578.0,1150897517.0
000736,中交地产,6328446569.9,6328446569.9,房地产开发,695433689.0,695433689.0
000737,北方铜业,16483842353.1,6754366772.1,有色金属,1772456167.0,726275997.0
000738,航发控制,26211617139.93,26211617139.93,航天航空,1315184001.0,1315184001.0
