日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA4,MA8,MA16,MA24
2021-01-08,10.51,10.15,10.54,10.04,62295,70970337.0,4.76,-3.43,-0.36,3.86,,,,
2021-01-15,10.14,10.27,10.47,9.9,68189,77072708.0,5.62,1.18,0.12,4.22,,,,
2021-01-22,10.27,10.31,10.47,10.19,62664,71727062.0,2.73,0.39,0.04,3.88,,,,
2021-01-29,10.37,9.68,10.37,9.59,68379,75322076.0,7.57,-6.11,-0.63,4.23,10.1025,,,
2021-02-05,9.69,9.18,9.98,9.16,65804,70284578.0,8.47,-5.17,-0.5,4.07,9.86,,,
2021-02-10,9.18,9.47,9.65,9.18,22178,23433310.0,5.12,3.16,0.29,1.37,9.66,,,
2021-02-19,9.55,9.92,9.93,9.55,23325,25387369.0,4.01,4.75,0.45,1.44,9.5625,,,
2021-02-26,10.48,10.92,11.11,10.33,153429,181433586.0,7.86,10.08,1.0,9.5,9.8725,9.9875,,
2021-03-05,11.21,11.62,11.79,10.94,191936,239328945.0,7.78,6.41,0.7,11.88,10.4825,10.171249999999999,,
2021-03-12,11.63,11.57,11.7,10.57,218779,267926641.0,9.72,-0.43,-0.05,13.54,11.0075,10.33375,,
2021-03-19,11.64,12.62,12.75,11.64,260388,347166744.0,9.59,9.08,1.05,16.12,11.6825,10.622499999999999,,
2021-03-26,12.62,13.73,15.48,12.23,481538,726277628.0,25.75,8.8,1.11,29.8,12.385,11.12875,,
2021-04-02,13.4,11.99,13.4,11.66,645274,864611725.0,12.67,-12.67,-1.74,39.94,12.4775,11.48,,
2021-04-09,11.86,11.92,12.25,11.8,186157,243167024.0,3.75,-0.58,-0.07,11.52,12.565,11.786249999999999,,
2021-04-16,11.95,11.42,12.0,10.95,182211,220402028.0,8.81,-4.19,-0.5,11.28,12.265,11.973749999999999,,
2021-04-23,11.4,11.16,12.32,10.98,189039,230380953.0,11.73,-2.28,-0.26,11.7,11.622499999999999,12.00375,10.995625,
2021-04-30,11.03,10.48,11.19,10.46,138250,157669144.0,6.54,-6.09,-0.68,8.56,11.245000000000001,11.86125,11.01625,
2021-05-07,10.29,10.47,10.62,10.18,48092,52831327.0,4.2,-0.1,-0.01,2.98,10.8825,11.723749999999999,11.02875,
2021-05-14,10.47,10.93,11.07,10.36,94262,105974387.0,6.78,4.39,0.46,5.83,10.76,11.512500000000001,11.0675,
2021-05-21,10.83,10.6,10.83,10.5,80135,89881355.0,3.02,-3.02,-0.33,4.96,10.620000000000001,11.12125,11.125,
2021-05-28,10.73,11.31,11.79,10.6,231028,272854716.0,11.23,6.7,0.71,14.3,10.827499999999999,11.036249999999999,11.258125,
2021-06-04,11.25,11.01,11.39,10.91,124072,145839035.0,4.24,-2.65,-0.3,7.68,10.962499999999999,10.922500000000001,11.354375,
2021-06-11,10.89,10.47,10.9,10.42,104785,116944616.0,4.36,-4.9,-0.54,6.49,10.8475,10.80375,11.38875,
2021-06-18,10.48,9.98,10.5,9.93,69825,74898808.0,5.44,-4.68,-0.49,4.32,10.6925,10.656250000000002,11.33,10.8825
2021-06-25,9.97,10.08,10.33,9.82,136110,145174984.0,5.11,1.0,0.1,8.42,10.385000000000002,10.606250000000001,11.233749999999999,10.879583333333334
2021-07-02,10.05,9.98,10.3,9.91,73134,78429839.0,3.87,-0.99,-0.1,4.56,10.127500000000001,10.545000000000002,11.134375,10.8675
2021-07-09,9.92,11.56,11.93,9.92,277405,326271716.0,20.14,15.83,1.58,17.31,10.4,10.62375,11.068125,10.919583333333334
2021-07-16,11.2,11.1,12.3,11.02,488141,590131324.0,11.07,-3.98,-0.46,30.46,10.68,10.686250000000001,10.90375,10.97875
2021-07-23,11.1,11.05,11.43,10.76,199142,233007485.0,6.04,-0.45,-0.05,12.43,10.9225,10.65375,10.844999999999999,11.056666666666667
2021-07-30,11.05,10.26,11.05,9.96,142553,158223005.0,9.86,-7.15,-0.79,8.89,10.9925,10.56,10.74125,11.089583333333332
