日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA4,MA8,MA16,MA24
2021-01-08,8.53,7.98,8.71,7.63,114446,95689013.0,12.66,-6.45,-0.55,4.38,,,,
2021-01-15,7.96,7.75,7.96,7.33,95093,73546988.0,7.89,-2.88,-0.23,3.64,,,,
2021-01-22,7.75,9.15,10.24,7.72,483589,462194540.0,32.52,18.06,1.4,18.5,,,,
2021-01-29,8.22,7.95,8.56,7.78,428895,354083898.0,8.52,-13.11,-1.2,16.41,8.2075,,,
2021-02-05,7.89,7.39,8.28,7.38,218157,173846191.0,11.32,-7.04,-0.56,8.35,8.06,,,
2021-02-10,7.41,7.61,7.76,7.17,61102,46361016.0,7.98,2.98,0.22,2.34,8.025,,,
2021-02-19,7.87,8.03,8.05,7.65,51074,40880680.0,5.26,5.52,0.42,1.95,7.745,,,
2021-02-26,8.03,8.16,8.56,7.89,174029,144851973.0,8.34,1.62,0.13,6.66,7.797499999999999,8.0025,,
2021-03-05,8.1,8.56,10.17,8.1,773915,712909189.0,25.37,4.9,0.4,29.61,8.09,8.075,,
2021-03-12,8.66,8.12,8.82,7.91,365964,309500252.0,10.63,-5.14,-0.44,14.0,8.2175,8.12125,,
2021-03-19,8.08,8.17,8.37,7.98,173142,143937261.0,4.8,0.62,0.05,6.62,8.2525,7.998749999999999,,
2021-03-26,8.17,8.07,8.24,7.93,120201,98527779.0,3.79,-1.22,-0.1,4.6,8.23,8.01375,,
2021-04-02,8.08,8.05,8.23,7.98,104285,85549526.0,3.1,-0.25,-0.02,3.99,8.1025,8.09625,,
2021-04-09,8.03,8.13,8.24,8.03,90621,74878315.0,2.61,0.99,0.08,3.47,8.105,8.16125,,
2021-04-16,8.13,8.08,8.21,7.66,121208,97680530.0,6.77,-0.62,-0.05,4.64,8.0825,8.1675,,
2021-04-23,8.13,8.27,8.37,8.09,154117,128519250.0,3.47,2.35,0.19,5.9,8.1325,8.18125,8.091875,
2021-04-30,8.26,7.99,8.26,7.87,96355,78753485.0,4.72,-3.39,-0.28,3.69,8.1175,8.11,8.0925,
2021-05-07,7.95,8.25,8.34,7.93,48453,40045123.0,5.13,3.25,0.26,1.85,8.1475,8.126249999999999,8.12375,
2021-05-14,8.25,8.46,8.61,8.16,160816,136379049.0,5.45,2.55,0.21,6.15,8.2425,8.162500000000001,8.080625000000001,
2021-05-21,8.45,8.21,8.47,8.03,114393,95317301.0,5.2,-2.96,-0.25,4.38,8.2275,8.18,8.096875,
2021-05-28,8.21,8.39,8.54,8.17,103009,87214954.0,4.51,2.19,0.18,3.94,8.3275,8.2225,8.159375,
2021-06-04,8.34,8.54,8.68,8.33,134928,116793305.0,4.17,1.79,0.15,5.16,8.4,8.27375,8.217500000000001,
2021-06-11,8.59,8.86,8.96,8.49,140719,124518548.0,5.5,3.75,0.32,5.38,8.5,8.37125,8.269375,
2021-06-18,8.89,8.57,9.35,8.38,224868,199572305.0,10.95,-3.27,-0.29,8.6,8.59,8.408750000000001,8.295,8.1975
2021-06-25,8.53,9.16,9.31,8.49,249001,225954234.0,9.57,6.88,0.59,9.53,8.782499999999999,8.555,8.3325,8.246666666666668
2021-07-02,9.22,8.68,9.26,8.53,147230,131745228.0,7.97,-5.24,-0.48,5.63,8.817499999999999,8.60875,8.3675,8.285416666666668
2021-07-09,8.67,9.4,9.52,8.65,280376,259645995.0,10.02,8.29,0.72,10.73,8.9525,8.72625,8.444374999999999,8.295833333333333
2021-07-16,9.39,8.96,9.63,8.78,230528,212961987.0,9.04,-4.68,-0.44,8.82,9.05,8.82,8.5,8.337916666666667
2021-07-23,8.94,9.02,9.27,8.83,173330,158153965.0,4.91,0.67,0.06,6.63,9.015,8.89875,8.560625,8.405833333333334
2021-07-30,9.03,8.36,9.03,7.96,177456,150758879.0,11.86,-7.32,-0.66,6.79,8.935,8.87625,8.575000000000001,8.437083333333332
2021-08-06,8.4,8.48,8.68,8.21,144125,122427657.0,5.62,1.44,0.12,5.51,8.705,8.82875,8.6,8.455833333333333
2021-08-13,8.43,9.04,9.1,8.42,164756,145300169.0,8.02,6.6,0.56,6.3,8.725,8.8875,8.648124999999999,8.4925
2021-08-20,9.07,8.64,9.1,8.48,116344,102877716.0,6.86,-4.42,-0.4,4.45,8.629999999999999,8.8225,8.68875,8.495833333333332
2021-08-27,8.67,9.1,9.27,8.67,173427,158534084.0,6.94,5.32,0.46,6.64,8.815,8.875,8.741875,8.536666666666667
2021-09-03,9.12,8.83,9.14,8.54,146383,130543442.0,6.59,-2.97,-0.27,5.6,8.9025,8.803749999999999,8.765,8.564166666666667
2021-09-10,8.81,9.08,9.58,8.76,242503,225073248.0,9.29,2.83,0.25,9.28,8.912500000000001,8.81875,8.819374999999999,8.606250000000001
2021-09-17,9.08,8.84,9.42,8.65,182091,166087197.0,8.48,-2.64,-0.24,6.97,8.9625,8.79625,8.8475,8.639166666666666
2021-09-24,8.79,8.82,9.38,8.64,113015,102183176.0,8.37,-0.23,-0.02,4.32,8.8925,8.85375,8.864999999999998,8.667916666666667
2021-09-30,8.82,9.55,9.77,8.74,621765,594406397.0,11.68,8.28,0.73,23.79,9.072500000000002,8.9875,8.908125,8.729166666666666
2021-10-08,9.63,10.04,10.11,9.49,125364,123723025.0,6.49,5.13,0.49,4.8,9.3125,9.1125,9.0,8.802916666666667
2021-10-15,9.92,8.99,9.92,8.97,389088,373763024.0,9.46,-10.46,-1.05,14.89,9.35,9.15625,8.989375,8.844583333333333
2021-10-22,8.88,8.84,9.16,8.77,174021,157343837.0,4.34,-1.67,-0.15,6.66,9.355,9.123750000000001,8.999375,8.869166666666667
2021-10-29,8.82,8.15,8.82,7.99,170918,143788873.0,9.39,-7.81,-0.69,6.54,9.004999999999999,9.03875,8.92125,8.85625
2021-11-05,8.21,7.86,8.21,7.86,130769,105432080.0,4.29,-3.56,-0.29,5.0,8.46,8.88625,8.8525,8.841666666666667
2021-11-12,7.88,8.32,8.4,7.67,133616,109564168.0,9.29,5.85,0.46,5.11,8.2925,8.82125,8.80875,8.83875
2021-11-19,8.32,8.92,9.41,8.16,512896,459771666.0,15.02,7.21,0.6,19.62,8.3125,8.83375,8.84375,8.854583333333332
2021-11-26,8.85,9.38,9.54,8.8,490944,458340234.0,8.3,5.16,0.46,18.78,8.620000000000001,8.8125,8.9,8.876249999999999
2021-12-03,9.15,10.05,11.04,9.13,1207590,1233154236.0,20.36,7.14,0.67,46.2,9.1675,8.81375,8.963125000000002,8.937916666666666
2021-12-10,9.83,11.81,12.93,9.79,1875750,2238585924.0,31.24,17.51,1.76,71.77,10.040000000000001,9.16625,9.16125,9.048333333333334
2021-12-17,11.45,10.47,11.7,10.37,933804,1012990599.0,11.26,-11.35,-1.34,35.73,10.4275,9.37,9.246875000000001,9.122916666666667
2021-12-24,10.37,9.68,10.91,9.67,574269,597394387.0,11.84,-7.55,-0.79,21.97,10.5025,9.561250000000001,9.299999999999999,9.134583333333333
2021-12-31,9.59,9.84,10.18,9.57,249213,248203122.0,6.3,1.65,0.16,9.54,10.45,9.80875,9.3475,9.17125
2022-01-07,9.83,9.85,10.16,9.66,236728,237108537.0,5.08,0.1,0.01,9.06,9.959999999999999,10.0,9.410625,9.205833333333333
2022-01-14,9.81,9.9,10.4,9.68,331414,339177015.0,7.31,0.51,0.05,12.68,9.817499999999999,10.122499999999999,9.478125,9.270000000000001
2022-01-21,9.9,9.4,10.23,9.03,277859,270457436.0,12.12,-5.05,-0.5,10.63,9.7475,10.125,9.46875,9.308333333333334
2022-01-28,9.44,9.28,9.6,8.88,131401,122723517.0,7.66,-1.28,-0.12,5.03,9.6075,10.02875,9.42125,9.318333333333333
2022-02-11,9.3,9.23,9.61,9.21,129015,122669721.0,4.31,-0.54,-0.05,4.94,9.4525,9.70625,9.43625,9.342916666666667
2022-02-18,9.28,9.73,9.82,9.13,202662,196223068.0,7.48,5.42,0.5,7.75,9.41,9.61375,9.491875,9.369166666666667
2022-02-25,9.89,9.9,10.89,9.51,681240,706329482.0,14.18,1.75,0.17,26.07,9.535,9.64125,9.60125,9.41375
2022-03-04,9.9,9.9,10.11,9.73,216379,215881261.0,3.84,0.0,0.0,8.28,9.690000000000001,9.64875,9.72875,9.447916666666666
2022-03-11,9.76,9.33,10.03,8.83,233520,222506484.0,12.12,-5.76,-0.57,8.93,9.715,9.58375,9.791875000000001,9.468333333333332
2022-03-18,9.26,9.06,9.33,8.32,167405,149841421.0,10.83,-2.89,-0.27,6.41,9.5475,9.478750000000002,9.800625,9.478333333333333
2022-03-25,9.01,8.98,9.2,8.84,110871,100828124.0,3.97,-0.88,-0.08,4.24,9.3175,9.42625,9.775625,9.454583333333334
2022-04-01,8.88,9.12,9.43,8.65,136056,124428163.0,8.69,1.56,0.14,5.21,9.1225,9.40625,9.7175,9.41625
2022-04-08,9.15,8.88,9.28,8.81,48581,44308777.0,5.15,-2.63,-0.24,1.86,9.010000000000002,9.3625,9.534374999999999,9.411666666666667
2022-04-15,8.88,8.5,9.05,8.4,83133,73691450.0,7.32,-4.28,-0.38,3.18,8.870000000000001,9.208750000000002,9.411249999999999,9.3975
2022-04-22,8.5,8.92,9.09,8.43,115091,102772668.0,7.76,4.94,0.42,4.4,8.855,9.08625,9.363750000000001,9.429583333333333
2022-04-29,8.86,7.6,8.99,6.96,162218,126791751.0,22.76,-14.8,-1.32,6.21,8.475000000000001,8.79875,9.22375,9.41875
2022-05-06,7.54,7.53,7.77,7.43,32835,25180597.0,4.47,-0.92,-0.07,1.26,8.1375,8.57375,9.078750000000001,9.385833333333332
2022-05-13,7.52,7.9,7.95,7.51,73141,57386463.0,5.84,4.91,0.37,2.8,7.9875,8.428749999999999,8.953750000000001,9.343333333333334
2022-05-20,8.01,8.27,8.28,7.72,122715,99453735.0,7.09,4.68,0.37,4.7,7.825,8.34,8.883125,9.297083333333335
2022-05-27,8.24,8.25,8.58,8.0,127224,106281184.0,7.01,-0.24,-0.02,4.87,7.9875,8.23125,8.81875,9.222083333333334
2022-06-02,8.28,8.57,8.63,8.22,137036,116402819.0,4.97,3.88,0.32,5.24,8.247499999999999,8.192499999999999,8.7775,9.087083333333334
2022-06-10,8.68,8.32,8.68,7.99,129310,109162447.0,8.05,-2.92,-0.25,4.95,8.3525,8.17,8.689375,8.9975
2022-06-17,8.29,8.19,8.56,8.06,129238,108258278.0,6.01,-1.56,-0.13,4.94,8.3325,8.07875,8.5825,8.935416666666667
2022-06-24,8.19,8.88,8.96,8.15,335357,291698186.0,9.89,8.42,0.69,12.83,8.49,8.23875,8.51875,8.895416666666668
2022-07-01,8.86,8.61,9.22,8.48,285000,254640188.0,8.33,-3.04,-0.27,10.9,8.5,8.373750000000001,8.473749999999999,8.84375
2022-07-08,8.58,8.42,8.62,8.22,123904,104714425.0,4.65,-2.21,-0.19,4.74,8.525,8.438749999999999,8.43375,8.782083333333333
2022-07-15,8.39,8.43,8.6,8.04,136448,113748785.0,6.65,0.12,0.01,5.22,8.585,8.45875,8.399375000000001,8.741666666666665
2022-07-22,8.45,9.16,9.34,8.41,252240,226979485.0,11.03,8.66,0.73,9.65,8.655,8.5725,8.401875,8.736666666666666
2022-07-29,9.26,9.29,9.4,8.88,181963,167385604.0,5.68,1.42,0.13,6.96,8.825,8.6625,8.4275,8.739166666666668
2022-08-05,9.23,9.74,10.13,9.14,384988,367187974.0,10.66,4.84,0.45,14.73,9.155,8.84,8.505,8.739583333333334
2022-08-12,9.75,11.45,11.46,9.56,800697,862482609.0,19.51,17.56,1.71,30.64,9.91,9.2475,8.663125,8.804166666666667
2022-08-19,11.05,13.9,14.16,10.3,1209982,1462958628.0,33.71,21.4,2.45,46.3,11.095,9.874999999999998,9.056875,8.970833333333333
2022-08-26,13.61,13.08,15.55,12.88,1009871,1435219772.0,19.21,-5.9,-0.82,38.64,12.0425,10.43375,9.40375,9.127083333333333
2022-09-02,12.99,11.56,13.46,10.37,841580,978494459.0,23.62,-11.62,-1.52,32.2,12.4975,10.82625,9.6325,9.231250000000001
2022-09-09,11.52,11.54,13.04,11.02,560049,673163440.0,17.47,-0.17,-0.02,21.43,12.520000000000001,11.215,9.836875,9.337916666666667
2022-09-16,11.75,11.09,11.84,10.44,295523,329542426.0,12.13,-3.9,-0.45,11.31,11.817499999999999,11.45625,10.014375,9.42
2022-09-23,11.17,12.7,12.85,10.76,501988,599129911.0,18.85,14.52,1.61,19.21,11.7225,11.882499999999999,10.272499999999999,9.579166666666666
2022-09-30,12.64,13.98,14.46,12.38,560851,774141779.0,16.38,10.08,1.28,21.46,12.327499999999999,12.4125,10.62625,9.8075
2022-10-14,13.88,15.35,16.48,12.58,696533,1012153312.0,27.9,9.8,1.37,26.65,13.28,12.899999999999999,11.07375,10.075416666666667
2022-10-21,15.24,14.47,16.17,14.29,555000,843228082.0,12.25,-5.73,-0.88,21.23,14.125,12.971250000000001,11.423125,10.361666666666666
2022-10-28,14.53,15.4,16.74,14.37,436087,673323021.0,16.38,6.43,0.93,16.69,14.8,13.261249999999999,11.8475,10.689583333333333
2022-11-04,15.43,16.98,17.55,13.85,490280,770705071.0,24.03,10.26,1.58,18.76,15.55,13.93875,12.3825,11.067916666666667
2022-11-11,16.68,18.52,18.52,15.09,523026,873548396.0,20.2,9.07,1.54,20.01,16.3425,14.81125,13.013125,11.495
2022-11-18,19.33,18.98,20.52,18.64,505616,996502832.0,10.15,2.48,0.46,19.35,17.47,15.7975,13.626875,11.942083333333334
2022-11-25,18.94,21.69,23.36,18.89,511636,1090183950.0,23.55,14.28,2.71,19.58,19.0425,16.92125,14.401874999999999,12.488749999999998
2022-12-02,20.98,20.83,22.68,20.51,343278,733009800.0,10.0,-3.96,-0.86,13.13,20.005,17.7775,15.095,13.009999999999998
2022-12-09,20.89,20.46,22.58,19.9,327832,690779685.0,12.87,-1.78,-0.37,12.54,20.490000000000002,18.41625,15.658125,13.52125
2022-12-16,20.28,18.98,21.06,18.48,288664,569946839.0,12.61,-7.23,-1.48,11.04,20.490000000000002,18.98,15.975625,13.942083333333334
2022-12-23,18.52,17.3,19.44,17.13,187233,341252662.0,12.17,-8.85,-1.68,7.16,19.392500000000002,19.2175,16.239375,14.304166666666665
2022-12-30,17.47,19.66,19.93,17.47,324992,623727272.0,14.22,13.64,2.36,12.43,19.1,19.5525,16.745625,14.7725
2023-01-06,19.77,20.95,21.34,19.38,199616,413178003.0,9.97,6.56,1.29,7.64,19.2225,19.85625,17.33375,15.294166666666667
2023-01-13,21.33,19.71,22.95,19.25,336442,707111536.0,17.66,-5.92,-1.24,12.87,19.405,19.9475,17.8725,15.733749999999999
2023-01-20,19.76,21.37,22.29,19.54,295488,622468820.0,13.95,8.42,1.66,11.31,20.4225,19.9075,18.414375,16.237083333333334
2023-02-03,21.62,22.2,23.48,21.43,356251,801941800.0,9.59,3.88,0.83,13.63,21.0575,20.07875,18.928125,16.75625
2023-02-10,22.26,21.8,25.98,21.8,448835,1045466796.0,18.83,-1.8,-0.4,17.17,21.27,20.24625,19.331249999999997,17.1875
2023-02-17,19.92,19.24,20.56,18.77,444180,874500904.0,8.21,-11.74,-2.56,16.99,21.1525,20.278750000000002,19.629375,17.41
2023-02-24,19.11,18.47,19.43,17.98,176518,329901654.0,7.54,-4.0,-0.77,6.75,20.4275,20.425,19.821250000000003,17.634583333333335
2023-03-03,18.27,17.73,18.43,17.61,133222,239261886.0,4.44,-4.01,-0.74,5.1,19.31,20.18375,19.868125,17.891666666666666
2023-03-10,17.84,17.18,19.08,16.98,234797,429932703.0,11.84,-3.1,-0.55,8.98,18.155,19.712500000000002,19.784375,18.126666666666665
