日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA4,MA8,MA16,MA24
2021-01-08,3.55,3.86,4.03,3.54,10294685,3974247392.0,13.76,8.43,0.3,7.87,,,,
2021-01-15,3.79,3.48,3.79,3.44,8471252,3091488224.0,9.07,-9.84,-0.38,6.48,,,,
2021-01-22,3.48,3.46,3.68,3.35,7469351,2666723248.0,9.48,-0.57,-0.02,5.71,,,,
2021-01-29,3.44,3.13,3.49,3.08,5241433,1762494208.0,11.85,-9.54,-0.33,4.01,3.4825,,,
2021-02-05,3.13,3.25,3.37,3.11,5483043,1811232645.0,8.31,3.83,0.12,4.19,3.33,,,
2021-02-10,3.26,3.52,3.56,3.25,4768804,1671159296.0,9.54,8.31,0.27,3.65,3.34,,,
2021-02-19,3.83,3.95,4.0,3.8,7689561,3041713696.0,5.68,12.22,0.43,5.88,3.4625,,,
2021-02-26,4.1,4.18,4.56,4.09,21143840,9275806544.0,11.9,5.82,0.23,16.17,3.725,3.60375,,
2021-03-05,4.23,4.0,4.48,3.94,13867617,5938002704.0,12.92,-4.31,-0.18,10.6,3.9125,3.62125,,
2021-03-12,4.1,4.37,4.5,3.78,13278848,5611214096.0,18.0,9.25,0.37,10.15,4.125,3.7325,,
2021-03-19,4.47,4.08,4.67,4.0,10767460,4748487136.0,15.33,-6.64,-0.29,8.23,4.1575,3.81,,
2021-03-26,4.1,3.73,4.2,3.62,9117985,3565711008.0,14.22,-8.58,-0.35,6.97,4.045,3.8850000000000002,,
2021-04-02,3.8,3.74,3.83,3.64,5089585,1934871104.0,5.09,0.27,0.01,3.89,3.98,3.94625,,
2021-04-09,3.75,4.18,4.25,3.68,7907739,3209427548.0,15.24,11.76,0.44,6.05,3.9325,4.0287500000000005,,
2021-04-16,4.13,4.16,4.29,3.95,9756187,4095359968.0,8.13,-0.48,-0.02,7.46,3.9524999999999997,4.055,,
2021-04-23,4.13,4.21,4.28,4.06,7033081,2983732368.0,5.29,1.2,0.05,5.38,4.0725,4.05875,3.83125,
2021-04-30,4.23,4.37,4.55,4.22,9860268,4383091392.0,7.84,3.8,0.16,7.54,4.23,4.105,3.863125,
2021-05-07,4.61,5.18,5.18,4.6,8610349,4297525616.0,13.27,18.54,0.81,6.58,4.48,4.20625,3.969375,
2021-05-14,5.33,5.21,5.91,5.11,22942713,12684370144.0,15.44,0.58,0.03,17.54,4.7425,4.3475,4.07875,
2021-05-21,5.22,5.27,5.51,4.87,13150944,6974964448.0,12.28,1.15,0.06,10.06,5.007499999999999,4.54,4.2125,
2021-05-28,5.13,5.29,5.43,5.05,10981426,5834080176.0,7.21,0.38,0.02,8.4,5.2375,4.73375,4.34,
2021-06-04,5.28,5.09,5.47,4.98,9422818,4951681696.0,9.26,-3.78,-0.2,7.2,5.215,4.847499999999999,4.438125,
2021-06-11,5.13,5.38,5.45,4.99,8064543,4227843936.0,9.04,5.7,0.29,6.17,5.257499999999999,5.0,4.5275,
2021-06-18,5.37,4.81,5.46,4.54,7729512,3856209872.0,17.1,-10.59,-0.57,5.91,5.1425,5.074999999999999,4.566875,4.245833333333334
2021-06-25,4.77,5.34,5.42,4.7,8376478,4280734672.0,14.97,11.02,0.53,6.4,5.154999999999999,5.19625,4.650625,4.3075
2021-07-02,5.32,5.07,5.35,5.01,6678104,3506172064.0,6.37,-5.06,-0.27,5.11,5.15,5.1825,4.694375,4.37375
2021-07-09,5.18,5.79,5.79,5.11,11452267,6272821472.0,13.41,14.2,0.72,8.76,5.2525,5.255,4.8012500000000005,4.470833333333333
2021-07-16,5.98,5.75,6.1,5.31,16806463,9675078624.0,13.64,-0.69,-0.04,12.85,5.487500000000001,5.3149999999999995,4.9275,4.579999999999999
2021-07-23,5.91,6.21,6.34,5.44,17172451,10289201808.0,15.65,8.0,0.46,13.13,5.705,5.43,5.081874999999999,4.703333333333333
2021-07-30,6.26,5.9,6.38,5.29,17160798,10106866112.0,17.55,-4.99,-0.31,13.12,5.9125,5.53125,5.189375,4.802499999999999
2021-08-06,5.81,5.57,5.89,5.33,11395306,6424025968.0,9.49,-5.59,-0.33,8.71,5.8575,5.555,5.2775,4.87
2021-08-13,5.49,6.23,6.27,5.42,14408792,8631751040.0,15.26,11.85,0.66,11.02,5.9775,5.7325,5.40375,4.955416666666667
2021-08-20,6.31,5.8,6.37,5.56,13052753,7821992064.0,13.0,-6.9,-0.43,9.98,5.875000000000001,5.79,5.493125,5.0304166666666665
2021-08-27,5.84,7.18,7.58,5.81,25222563,17216862944.0,30.52,23.79,1.38,19.29,6.195,6.05375,5.618125,5.1475
2021-09-03,7.29,7.52,8.02,7.15,27838884,21350549056.0,12.12,4.74,0.34,21.29,6.6825,6.2700000000000005,5.7625,5.2908333333333335
2021-09-10,7.93,9.23,9.94,7.7,29690759,26162644864.0,29.79,22.74,1.71,22.7,7.4325,6.705,6.01,5.52
2021-09-17,9.75,9.47,10.16,8.98,31562850,30747538688.0,12.78,2.6,0.24,24.13,8.35,7.1125,6.27125,5.758749999999999
2021-09-24,9.38,8.8,10.09,8.71,15585081,14673427200.0,14.57,-7.07,-0.67,11.92,8.755,7.4750000000000005,6.503125,5.951250000000001
2021-09-30,8.73,7.68,8.78,7.64,15495742,12615556752.0,12.95,-12.73,-1.12,11.85,8.795,7.7387500000000005,6.6468750000000005,6.097916666666667
2021-10-08,7.9,7.48,7.93,7.41,2907199,2227981840.0,6.77,-2.6,-0.2,2.22,8.3575,7.895,6.81375,6.234166666666667
2021-10-15,7.38,7.14,7.54,6.78,16124201,11554871248.0,10.16,-4.55,-0.34,12.33,7.775,8.0625,6.92625,6.3495833333333325
2021-10-22,7.18,6.67,7.44,6.62,20467561,14625061360.0,11.48,-6.58,-0.47,15.65,7.2425,7.99875,7.02625,6.411666666666666
2021-10-29,6.68,6.07,6.99,5.99,18022122,11733103456.0,14.99,-9.0,-0.6,13.78,6.84,7.8175,7.04375,6.447500000000001
2021-11-05,6.05,5.42,6.18,5.4,16312280,9568353360.0,12.85,-10.71,-0.65,12.47,6.325,7.3412500000000005,7.023125,6.45375
2021-11-12,5.47,5.25,5.58,5.13,15097680,8208099456.0,8.3,-3.14,-0.17,11.54,5.8525,6.813750000000001,6.963125000000001,6.452083333333334
2021-11-19,5.19,5.27,5.3,5.06,13555220,7121613552.0,4.57,0.38,0.02,10.36,5.5024999999999995,6.3725,6.92375,6.459583333333334
2021-11-26,5.25,5.2,5.39,5.16,16404121,8773957808.0,4.36,-1.33,-0.07,12.54,5.285,6.0625,6.900625000000001,6.452083333333334
2021-12-03,5.09,5.32,5.36,4.98,14735138,7732592624.0,7.31,2.31,0.12,11.27,5.26,5.7925,6.84375,6.473333333333334
2021-12-10,5.33,6.32,6.59,5.33,38750888,23927989120.0,23.68,18.8,1.0,29.63,5.5275,5.69,6.876250000000001,6.514166666666667
2021-12-17,6.32,6.09,6.5,5.87,21380026,13226804208.0,9.97,-3.64,-0.23,16.35,5.7325,5.6175,6.8081249999999995,6.5566666666666675
2021-12-24,6.09,6.36,6.73,5.88,26404928,16941710304.0,13.96,4.43,0.27,20.19,6.0225,5.65375,6.735625,6.5804166666666655
2021-12-31,6.24,6.02,6.25,5.96,12814582,7875330304.0,4.56,-5.35,-0.34,9.8,6.197500000000001,5.72875,6.535,6.591666666666666
2022-01-07,6.04,5.92,6.05,5.63,10552317,6249493056.0,6.98,-1.66,-0.1,8.07,6.097499999999999,5.8125,6.313125,6.579583333333335
2022-01-14,5.9,5.86,6.31,5.83,12731445,7826885040.0,8.11,-1.01,-0.06,9.73,6.039999999999999,5.88625,6.1293750000000005,6.577916666666667
2022-01-21,5.79,5.77,6.03,5.69,8240419,4864233952.0,5.8,-1.54,-0.09,6.3,5.8925,5.9575,6.01,6.586250000000001
2022-01-28,5.64,5.19,5.7,5.03,10551770,5804568720.0,11.61,-10.05,-0.58,8.07,5.685,5.94125,5.866875,6.542916666666667
2022-02-11,5.3,6.08,6.31,5.26,16515550,9976220240.0,20.23,17.15,0.89,12.63,5.7250000000000005,5.91125,5.800625,6.554583333333333
2022-02-18,6.1,6.19,6.27,5.84,10960550,6709580496.0,7.07,1.81,0.11,8.38,5.807499999999999,5.92375,5.770625,6.513333333333333
2022-02-25,6.13,6.26,6.46,5.99,18345766,11507533968.0,7.59,1.13,0.07,14.03,5.930000000000001,5.911250000000001,5.7825,6.460833333333333
2022-03-04,6.39,7.04,7.43,6.16,27003745,18457494800.0,20.29,12.46,0.78,20.65,6.3925,6.03875,5.88375,6.369583333333334
2022-03-11,7.32,6.3,7.36,5.89,21238811,14045816656.0,20.88,-10.51,-0.74,16.24,6.4475,6.08625,5.949375,6.237500000000001
